"POL","CO","CON","AB","ABN","DIS","DISN","EIC","EICSUM","EICSUMN","TYPE","EMS","CANCER_TWE","CHRONIC_TWE","ACUTE_TWE"
108883,35,SAN BENITO,NCC,NORTH CENTRAL COAST,MBU,MONTEREY BAY AIR RESOURCES DISTRICT,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,37,SAN DIEGO,SD,SAN DIEGO COUNTY,SD,SAN DIEGO COUNTY APCD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,26,MONO,GBV,GREAT BASIN VALLEYS,GBU,GREAT BASIN UNIFIED APCD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,15,KERN,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,94094054000000,940,WINDBLOWN DUST,N,0,,0,0
108883,25,MODOC,NEP,NORTHEAST PLATEAU,MOD,MODOC COUNTY APCD,93093402000000,930,WILDFIRES,N,7228.6009092,,0.2947081257827788649706457925636007827802,0.2475548256575342465753424657534246575355
108883,44,SANTA CRUZ,NCC,NORTH CENTRAL COAST,MBU,MONTEREY BAY AIR RESOURCES DISTRICT,93093402000000,930,WILDFIRES,N,268787.73193128,,10.95840394370841487279843444227005870846,9.20505931271506849315068493150684931511
74839,33,RIVERSIDE,SC,SOUTH COAST,SC,SOUTH COAST AQMD,93093402000000,930,WILDFIRES,N,87.1809987,,0.2985650640410958904109589041095890410972,0.003827757231296101159114857744994731296115
108883,20,MADERA,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,93093402000000,930,WILDFIRES,N,321201.64519812,,13.0953051695254403131115459882583170255,11.00005634240136986301369863013698630142
108883,8,DEL NORTE,NC,NORTH COAST,NCU,NORTH COAST UNIFIED AQMD,93093402000000,930,WILDFIRES,N,82899.37345284,,3.37978528428082191780821917808219178084,2.8390196387958904109589041095890410959
74839,47,SISKIYOU,NEP,NORTHEAST PLATEAU,SIS,SISKIYOU COUNTY APCD,93093402000000,930,WILDFIRES,N,1322.5757883,,4.52936913801369863013698630136986301372,0.0580688351027397260273972602739726027399
74839,19,LOS ANGELES,SC,SOUTH COAST,SC,SOUTH COAST AQMD,93093402000000,930,WILDFIRES,N,255.8832575,,0.876312525684931506849315068493150684936,0.0112347759703196347031963470319634703197
108883,14,INYO,GBV,GREAT BASIN VALLEYS,GBU,GREAT BASIN UNIFIED APCD,93093402000000,930,WILDFIRES,N,442.23275268,,0.0180297110518590998043052837573385518592,0.0151449572835616438356164383561643835617
74839,30,ORANGE,SC,SOUTH COAST,SC,SOUTH COAST AQMD,93093402000000,930,WILDFIRES,N,6.1463173,,0.0210490318493150684931506849315068493151,0.000269859382683526519142957499121882683527
74839,31,PLACER,SV,SACRAMENTO VALLEY,PLA,PLACER COUNTY APCD,93093402000000,930,WILDFIRES,N,0.1796267,,0.000615159931506849315068493150684931506852,0.00000788666578854935019318580962416578854937
74839,25,MODOC,NEP,NORTHEAST PLATEAU,MOD,MODOC COUNTY APCD,93093402000000,930,WILDFIRES,N,32.220078,,0.1103427328767123287671232876712328767128,0.001414650421496311907270811380400421496316
108883,6,COLUSA,SV,SACRAMENTO VALLEY,COL,COLUSA COUNTY APCD,93093402000000,930,WILDFIRES,N,843.85681794,,0.0344038167783757338551859099804305283759,0.0288992060938356164383561643835616438358
74839,15,KERN,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,93093402000000,930,WILDFIRES,N,2.4796622,,0.00849199383561643835616438356164383561648,0.000108871715841236389181594661046715841237
108883,51,SUTTER,SV,SACRAMENTO VALLEY,FR,FEATHER RIVER AQMD,93093402000000,930,WILDFIRES,N,0,,0,0
108883,52,TEHAMA,SV,SACRAMENTO VALLEY,TEH,TEHAMA COUNTY APCD,93093402000000,930,WILDFIRES,N,266997.44485386,,10.88541441837328767123287671232876712333,9.1437481114335616438356164383561643836
108883,46,SIERRA,MC,MOUNTAIN COUNTIES,NSI,NORTHERN SIERRA AQMD,93093402000000,930,WILDFIRES,N,15748.93114236,,0.6420797106311154598825831702544031311178,0.539346956930136986301369863013698630139
74839,39,SAN JOAQUIN,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,93093402000000,930,WILDFIRES,N,29.5969804,,0.1013595219178082191780821917808219178086,0.001299481050228310502283105022831050228314
74839,33,RIVERSIDE,SS,SALTON SEA,SC,SOUTH COAST AQMD,93093402000000,930,WILDFIRES,N,2.279936,,0.00780800000000000000000000000000000000004,0.000100102564102564102564102564102564102565
108883,19,LOS ANGELES,SC,SOUTH COAST,SC,SOUTH COAST AQMD,93093402000000,930,WILDFIRES,N,57407.6185605,,2.34049325507583170254403131115459882585,1.96601433426369863013698630136986301371
74839,48,SOLANO,SV,SACRAMENTO VALLEY,YS,YOLO-SOLANO AQMD,93093402000000,930,WILDFIRES,N,50.9977751,,0.1746499147260273972602739726027397260282,0.002239101470846505093080435546188970846505
108883,48,SOLANO,SV,SACRAMENTO VALLEY,YS,YOLO-SOLANO AQMD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
108883,16,KINGS,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,92092016000000,920,GEOGENIC SOURCES,N,88,,0.003587736464448793215916503587736464448822,0.00301369863013698630136986301369863013701
108883,39,SAN JOAQUIN,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,92092016000000,920,GEOGENIC SOURCES,N,0,,0,0
