"POL","CO","CON","AB","ABN","DIS","DISN","EIC","EICSUM","EICSUMN","TYPE","EMS","CANCER_TWE","CHRONIC_TWE","ACUTE_TWE"
108883,31,PLACER,SV,SACRAMENTO VALLEY,PLA,PLACER COUNTY APCD,23024083020000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,40.549,,0.00165317188519243313763861709067188519244,0.001388664383561643835616438356164383561649
108883,31,PLACER,SV,SACRAMENTO VALLEY,PLA,PLACER COUNTY APCD,23021890500000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,2056.281680768691954209055828024101650003,,0.0838340541735441925232002539148769426782,0.0704206055057771217194882132884966318496
108883,3,AMADOR,MC,MOUNTAIN COUNTIES,AMA,AMADOR COUNTY APCD,43043470500000,430,MINERAL PROCESSES,SP,3.4476,,0.000140557729941291585127201565557729941292,0.000118068493150684931506849315068493150685
108883,4,BUTTE,SV,SACRAMENTO VALLEY,BUT,BUTTE COUNTY AQMD,5201001100000,52,FOOD AND AGRICULTURAL PROCESSING,SP,21.29818181818181818181818181818181818182,,0.000868321176540354622546403368321176540358,0.000729389788293897882938978829389788293901
108883,4,BUTTE,SV,SACRAMENTO VALLEY,BUT,BUTTE COUNTY AQMD,49999500000000,499,OTHER (INDUSTRIAL PROCESSES),SP,2.09664758087603778986544517606641855139,,0.00008547976112508308014780843020492574002749,0.0000718029993450697873241590813721376216231
108883,6,COLUSA,SV,SACRAMENTO VALLEY,COL,COLUSA COUNTY APCD,23022290000000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,17.95129061645915578499848162769511084117,,0.000731869317370317832069409720633362314141,0.000614770226591066978938304165332024343878
108883,36,SAN BERNARDINO,SC,SOUTH COAST,SC,SOUTH COAST AQMD,29999500000000,299,OTHER (CLEANING AND SURFACE COATINGS),SP,198.493300941390829031278469480716671728,,0.008092518792457225580205417053192949760615,0.006797715785664069487372550324682077798923
108883,48,SOLANO,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,23099590500000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,58.9652266476,,0.00240399652020547945205479452054794520549,0.002019357076972602739726027397260273972612
108883,10,FRESNO,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,44044070000000,440,METAL PROCESSES,SP,1.7689676495848840538219295734325794446,,0.00007212033796415867799339243205449198648929,0.000060581083889893289514449642925773268651
108883,40,SAN LUIS OBISPO,SCC,SOUTH CENTRAL COAST,SLO,SAN LUIS OBISPO COUNTY APCD,31030216000000,310,OIL AND GAS PRODUCTION,SP,7.7190273,,0.000314702678571428571428571428571428571431,0.000264350250000000000000000000000000000001
108883,10,FRESNO,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,23099591000000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,1127.96553774380165289256198347107438017,,0.0459868533000571450135584631225976182392,0.0386289567720480018113891090229819993209
108883,15,KERN,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,23023291000000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,51.3150799586776859504132231404958677686,,0.002092102085725606896217107923210040271072,0.001757365752009509792822370655496433827698
108883,28,NAPA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,23099591000000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,139.515196704,,0.005687997256360078277886497064579256360103,0.004777917695342465753424657534246575342481
